,FF3_tan_w,Carhart_tan_w
Mkt-RF,0.47470372351432777,0.23587081163593715
SMB,0.07063184602632362,0.04631348831410589
HML,0.4546644304593486,0.3217402006182147
Mom,,0.39607549943174214
