model,portfolio,alpha,period
Carhart,ME5 BM2,0.00013175227302059784,2009_2019
Carhart,ME5 BM3,0.0009328969654289501,2009_2019
Carhart,ME5 BM4,-0.0013993092539383368,2009_2019
Carhart,BIG HiBM,-0.0032367197760802564,2009_2019
FF3,SMALL LoBM,-0.0024218589351577397,post_2020
FF3,ME1 BM2,-0.0003493981630843449,post_2020
FF3,ME1 BM3,0.001298793270712629,post_2020
FF3,ME1 BM4,-0.0018263286385663813,post_2020
FF3,SMALL HiBM,0.009442428922348771,post_2020
FF3,ME2 BM1,-0.002430342157751369,post_2020
FF3,ME2 BM2,0.0002453477909940017,post_2020
FF3,ME2 BM3,-0.0003442354900655494,post_2020
FF3,ME2 BM4,7.128620178222768e-05,post_2020
FF3,ME2 BM5,0.0007203671360476453,post_2020
FF3,ME3 BM1,-0.0022764347654847914,post_2020
FF3,ME3 BM2,-0.0015430280941489494,post_2020
FF3,ME3 BM3,-0.003012582900918548,post_2020
FF3,ME3 BM4,-0.002312953994988369,post_2020
FF3,ME3 BM5,-0.000142061377904423,post_2020
FF3,ME4 BM1,-0.0026125557802518812,post_2020
FF3,ME4 BM2,-0.001822026211557855,post_2020
FF3,ME4 BM3,-0.0027596515421076818,post_2020
FF3,ME4 BM4,-0.00012188523590902391,post_2020
FF3,ME4 BM5,-0.00345282661175231,post_2020
FF3,BIG LoBM,0.0026992540296752426,post_2020
FF3,ME5 BM2,-4.498595926047986e-05,post_2020
FF3,ME5 BM3,-0.003494255574191839,post_2020
FF3,ME5 BM4,-0.0016935228641126708,post_2020
FF3,BIG HiBM,0.0035096996759657034,post_2020
Carhart,SMALL LoBM,-0.002939373614679535,post_2020
Carhart,ME1 BM2,-0.0004385898038226166,post_2020
Carhart,ME1 BM3,0.001210780147075974,post_2020
Carhart,ME1 BM4,-0.0014736010562282909,post_2020
Carhart,SMALL HiBM,0.008278535098373913,post_2020
Carhart,ME2 BM1,-0.0027659510010687944,post_2020
Carhart,ME2 BM2,0.0004439419482915346,post_2020
Carhart,ME2 BM3,-0.00022101723548829336,post_2020
Carhart,ME2 BM4,0.00036873824949940146,post_2020
Carhart,ME2 BM5,0.000617925623525321,post_2020
Carhart,ME3 BM1,-0.0021287588844368763,post_2020
Carhart,ME3 BM2,-0.001019120350539054,post_2020
Carhart,ME3 BM3,-0.002807896941517851,post_2020
Carhart,ME3 BM4,-0.001963608168017542,post_2020
Carhart,ME3 BM5,8.263698800911249e-06,post_2020
Carhart,ME4 BM1,-0.0027514976683863644,post_2020
Carhart,ME4 BM2,-0.0018183245706853974,post_2020
Carhart,ME4 BM3,-0.0026670849094354732,post_2020
Carhart,ME4 BM4,0.0005276145226406133,post_2020
Carhart,ME4 BM5,-0.003172191294595902,post_2020
Carhart,BIG LoBM,0.0027701225939335307,post_2020
Carhart,ME5 BM2,6.600272964476329e-06,post_2020
Carhart,ME5 BM3,-0.0029727813657995958,post_2020
Carhart,ME5 BM4,-0.0017763446790937782,post_2020
Carhart,BIG HiBM,0.0036501933518792522,post_2020
