model,n_total,mae_avg_portfolio,rmse_avg_portfolio,alpha_dispersion_oos_std_mean_resid,mean_abs_alpha_oos_mean_resid
FF3,26675,0.013650788430266974,0.018771610181683638,0.001226466220005865,0.0007742907429050197
Carhart,26675,0.01363841533189815,0.018783675158663304,0.0012447993977573791,0.0007960576282074592
